@relation 'EmailRelation-weka.filters.unsupervised.attribute.Remove-R5-6,17-18,21-22-weka.filters.supervised.instance.Resample-B0.0-S1-Z15.0-weka.filters.unsupervised.attribute.Remove-R4,14-16-weka.filters.unsupervised.attribute.Remove-R1-3,13'

@attribute charSeq1 numeric
@attribute charSeq2 numeric
@attribute charSeq3 numeric
@attribute charSeq4 numeric
@attribute charSeq5 numeric
@attribute charSeq6 numeric
@attribute charSeq7 numeric
@attribute charSeq8 numeric
@attribute charSeq9 numeric
@attribute whiteSpaceCount numeric
@attribute spam {SPAM,NOTSPAM}

@data
0.030303,0.151515,0.181818,0.212121,0.121212,0.090909,0.060606,0,0,0.204082,SPAM
0.029412,0.176471,0.176471,0.176471,0.058824,0.147059,0.117647,0,0.029412,0.239837,SPAM
0.206897,0.068966,0.068966,0.137931,0.068966,0.034483,0.068966,0.068966,0.034483,0.233696,SPAM
0.022472,0.101124,0.202247,0.146067,0.089888,0.044944,0.078652,0.033708,0.067416,0.208621,SPAM
0,0,0,0,0,0,0.666667,0,0,0.12,SPAM
0.089286,0.053571,0.071429,0.107143,0.089286,0.142857,0.107143,0,0.053571,0.154639,SPAM
0.023913,0.036957,0.052174,0.097826,0.076087,0.073913,0.069565,0.058696,0.03913,0.181598,SPAM
0.03268,0.091503,0.117647,0.183007,0.039216,0.065359,0.091503,0.052288,0.03268,0.197545,SPAM
0.012658,0.082278,0.139241,0.177215,0.088608,0.031646,0.101266,0.050633,0.012658,0.209513,SPAM
0,0,0.181818,0.090909,0.090909,0.090909,0.045455,0,0,0.25,SPAM
0.096154,0.115385,0.192308,0.211538,0.153846,0,0.096154,0.096154,0.019231,0.229032,SPAM
0.013158,0.065789,0.157895,0.25,0.052632,0.105263,0.052632,0.026316,0.013158,0.203791,SPAM
0.039216,0.088235,0.127451,0.22549,0.098039,0.029412,0.04902,0.058824,0,0.196918,SPAM
0.007339,0.051376,0.06422,0.073394,0.042202,0.06422,0.069725,0.044037,0.034862,0.196689,SPAM
0.02439,0.063415,0.102439,0.136585,0.097561,0.058537,0.04878,0.068293,0.019512,0.201835,SPAM
0.051948,0.168831,0.116883,0.12987,0.090909,0.064935,0.103896,0.038961,0.025974,0.226804,SPAM
0,0.222222,0,0.222222,0.222222,0.111111,0.222222,0,0,0.173077,SPAM
0.032258,0.145161,0.096774,0.193548,0.145161,0.064516,0.096774,0.064516,0.032258,0.21447,SPAM
0.15625,0.140625,0.125,0.109375,0.046875,0.078125,0.0625,0.09375,0.015625,0.231771,SPAM
0.066667,0.133333,0.2,0.133333,0.2,0,0.066667,0.133333,0,0.231579,SPAM
0,0.4,0,0.2,0,0,0.2,0,0,0.181818,SPAM
0.021858,0.081967,0.103825,0.15847,0.081967,0.038251,0.032787,0.027322,0.016393,0.216049,SPAM
0.02,0.106667,0.1,0.12,0.086667,0.066667,0.066667,0.053333,0.046667,0.20598,SPAM
0,0.119048,0.166667,0.190476,0.095238,0.095238,0.095238,0.02381,0.02381,0.191837,SPAM
0.030973,0.079646,0.119469,0.168142,0.079646,0.070796,0.053097,0.026549,0.017699,0.2392,SPAM
0.071429,0.071429,0.142857,0.142857,0.214286,0.142857,0.142857,0,0,0.194805,SPAM
0.034483,0.051724,0.093103,0.117241,0.089655,0.068966,0.093103,0.027586,0.027586,0.204806,SPAM
0.011142,0.008357,0.052925,0.058496,0.133705,0.155989,0.155989,0.142061,0.114206,0.129087,SPAM
0.042857,0.128571,0.1,0.185714,0.071429,0.071429,0.028571,0.028571,0.014286,0.220874,SPAM
0.028571,0.128571,0.157143,0.1,0.128571,0.057143,0.1,0.057143,0.028571,0.194712,SPAM
